"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=coords,acconly"
"Access Time","Mon 2017-03-13 20:35:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","coords,acconly"
"Elapsed Time","0.168"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"968824","occ","","","34851","Blattodea","order","170227","Turonian","","93.9","89.8","37177","26.360001","-22.309999"
"968928","occ","","","114768","Blattoidea","superfamily","191945","Olenekian","","251.2","247.2","37195","11.056000","50.724998"
"968975","occ","","","113404","Samaroblattella kenderlykensis","species","196913","Norian","","228","208.5","37202","85.199997","47.500000"
"968976","occ","","","114782","Subioblatta recta","species","196914","Norian","","228","208.5","37202","85.199997","47.500000"
"968977","occ","","","114782","Samaroblattella kenderlykensis","species","196913","Norian","","228","208.5","37202","85.199997","47.500000"
"968978","occ","","","110763","Subioblatta madygenica","species","196911","Carnian","","237","228","37202","70.209999","40.055000"
"968979","occ","","","106088","Subioblatta madygenica","species","196911","Carnian","","237","228","37202","70.209999","40.055000"
"969098","occ","","","113449","Sobytie tungusicum","species","196940","Griesbachian","","252.17","251.3","37213","100.000000","65.000000"
"969247","occ","","","114861","Blattodea","order","170227","Longobardian","","242","235","37215","10.089000","50.020000"
"969248","occ","","","114862","Mesoblattopsis franconica","species","196972","Carnian","","237","228","37215","10.078000","49.653999"
"970509","occ","","","115104","Anablatta compacta","species","197184","Longobardian","","242","235","37259","-69.230003","-32.941113"
"970510","occ","","","115104","Potrerilloblatta stipanicici","species","197186","Longobardian","","242","235","37259","-69.230003","-32.941113"
"970511","occ","","","115104","Delpuenteblatta dangeloi","species","197189","Longobardian","","242","235","37259","-69.230003","-32.941113"
"970512","occ","","","115104","Lariojablatta neiffi","species","197192","Longobardian","","242","235","37259","-69.230003","-32.941113"
"970514","occ","","","115104","Triassoblatta","genus","191010","Longobardian","","242","235","37259","-69.230003","-32.941113"
"970523","occ","","","23142","Triassoblatta robusta","species","197202","Carnian","","237","228","37260","26.833332","-31.466667"
"970524","occ","","","23142","Samaroblatta","genus","191014","Carnian","","237","228","37260","26.833332","-31.466667"
"970525","occ","","","23142","Blattodea","order","170227","Carnian","","237","228","37260","26.833332","-31.466667"
"970526","occ","","","23002","Triassoblatta natalensis","species","197200","Carnian","","237","228","37260","29.500000","-29.500000"
"970532","occ","","","23003","Triassoblatta","genus","191010","Late Triassic","","237","201.3","37260","29.049999","-28.566668"
"970533","occ","","","23003","Blattodea","order","170227","Late Triassic","","237","201.3","37260","29.049999","-28.566668"
"970536","occ","","","115105","Blattodea","order","170227","Carnian","","237","228","37260","27.130301","-30.421400"
"970537","occ","","","23317","Triassoblatta robusta","species","197202","Carnian","","237","228","37260","27.516666","-31.616667"
"971003","occ","","","115196","Blattodea","order","170227","Carnian","","237","228","37267","26.833332","-31.466667"
"971004","occ","","","115196","Samaroblattella revelata","species","197320","Carnian","","237","228","37267","26.833332","-31.466667"
"971005","occ","","","115196","Samaroblatta parvula","species","197319","Carnian","","237","228","37267","26.833332","-31.466667"
"971006","occ","","","115196","Triassoblatta simplex","species","197308","Carnian","","237","228","37267","26.833332","-31.466667"
"974263","occ","","","106479","Phyloblatta grimaldii","species","198116","Norian","","228","208.5","37414","-79.668999","36.540901"
"974359","occ","","","115919","Thuringoblatta gimmi","species","198146","Carnian","","237","228","53521","10.943000","50.956001"
"974360","occ","","","115919","Keuperoblatta thuringica","species","198199","Carnian","","237","228","37415","10.943000","50.956001"
"974429","occ","","","115969","Triassoblatta","genus","191010","Bithynian","","247.2","242","37420","9.899900","50.125702"
"974441","occ","","","114861","Pedinoblatta","genus","188982","Longobardian","","242","235","37420","10.089000","50.020000"
"974754","occ","","","116101","Nipponoblatta suzugaminae","species","198357","Early Toarcian","","183","182","37424","131.000000","34.250000"
"974784","occ","","","116117","Rhodesiomylacris bondi","species","198359","Wuchiapingian","Changhsingian","259.9","252.17","37425","28.510000","-17.629999"
"974785","occ","","","116118","Phyloblatta resitensis","species","198364","Stephanian B","","304.8","303.4","37427","21.980000","45.270000"
"976836","occ","","","116607","Phyloblatta uralensis","species","199213","Capitanian","","265.1","259.9","37557","54.841999","51.882999"
"976837","occ","","","116607","Archimylacridae","family","191946","Capitanian","","265.1","259.9","37557","54.841999","51.882999"
"976841","occ","","","104994","Aissoblatta parvula","species","199215","Capitanian","","265.1","259.9","37557","54.841999","51.882999"
"976842","occ","","","104994","Archimylacridae","family","191946","Capitanian","","265.1","259.9","37557","54.841999","51.882999"
"979974","occ","","","116803","Phylloblatta latiuscula","species","200158","Roadian","","272.3","268.8","37651","53.338001","55.891998"
"979975","occ","","","116803","Phylloblatta tartarica","species","200159","Roadian","","272.3","268.8","37651","53.338001","55.891998"
"979976","occ","","","116803","Phyloblatta","genus","175496","Roadian","","272.3","268.8","37651","53.338001","55.891998"
"980068","occ","","","117186","Archimylacridae","family","191946","Carboniferous","","358.9","298.9","37675","84.724998","55.070000"
"980206","occ","","","107682","Voltziablatta intercalata","species","200341","Aegean","","247.2","242","37689","7.362000","48.710999"
"980207","occ","","","107682","Voltziablatta grauvogeli","species","200342","Aegean","","247.2","242","37689","7.362000","48.710999"
"980208","occ","","","107682","Voltziablatta grauvogeli","species","200342","Aegean","","247.2","242","37689","7.362000","48.710999"
"980209","occ","","","106916","Voltziablatta grauvogeli","species","200342","Aegean","","247.2","242","37689","7.175000","48.720001"
"980265","occ","","","117246","Miotermes procerus","species","197600","Sarmatian","","12.7","11.608","37344","15.918000","46.165001"
"980266","occ","","","117247","Mastotermes haidingeri","species","200453","Sarmatian","","12.7","11.608","37344","15.918000","46.165001"
"980267","occ","","","117248","Miotermes spectabilis","species","200456","Sarmatian","","12.7","11.608","37344","8.933333","47.666668"
